"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"© 2026 Lexis Hibiscus 2. All rights reserved.","© 2026 Lexis Hibiscus 2. All rights reserved.","© 2026 Lexis Hibiscus 2. Semua hak terpelihara.","© 2026 Lexis Hibiscus 2.無断転載を禁じます。","global.footer.copyright","Global","Footer copyright","Partial","","Currently shipped identically untranslated in ZH (not localized) — flagged gap. ""Lexis Hibiscus 2"" and the year stay verbatim; consider translating ""All rights reserved"" for MS/JA and retroactively for ZH"
"Name","姓名","Nama","名前","global.form.label_name","Global","Form field label","","",""
"WhatsApp Number","WhatsApp 号码","Nombor WhatsApp","WhatsApp番号","global.form.label_whatsapp","Global","Form field label","","",""
"Country code","国家区号","Kod negara","国コード","global.form.country_code_aria","Global","Form select aria-label","","",""
"Other","其他","Lain-lain","その他","global.form.country_other","Global","Country-code select option","","",""
"Buyer Type","买家类型","Jenis Pembeli","購入者のタイプ","global.form.label_buyer_type","Global","Form field label","","",""
"Select one","请选择","Pilih satu","1 つ選択してください","global.form.buyer_select_placeholder","Global","Form select placeholder option","","",""
"Malaysia Buyer","马来西亚买家","Pembeli Malaysia","マレーシアのバイヤー","global.form.buyer_malaysia","Global","Form select option","","",""
"Singapore Buyer","新加坡买家","Pembeli Singapura","シンガポールのバイヤー","global.form.buyer_singapore","Global","Form select option","","",""
"Overseas Buyer","海外买家","Pembeli Luar Negara","海外バイヤー","global.form.buyer_overseas","Global","Form select option","","",""
"MM2H Participant","MM2H 参与者","MM2H Peserta","MM2H 参加者","global.form.buyer_mm2h","Global","Form select option","Partial","","Keep ""MM2H"" acronym untranslated; translate ""Participant"" only"
"Others","其他","Lain-lain","その他","global.form.buyer_others","Global","Form select option","","",""
"Send Enquiry","发送咨询","Hantar Pertanyaan","お問い合わせを送信","global.form.submit_contact","Global","Contact-page form submit button (hardcoded, not via CTA config)","","",""
"Leave empty","请留空","Biarkan kosong","空のままにしておきます","global.form.botcheck_label","Global","Honeypot field label (visually hidden)","","",""
"Your details are used only to respond to this enquiry. See our Privacy Policy.","您的资料仅用于回复本咨询，详情请参阅我们的隐私政策。","Butiran anda hanya digunakan untuk menjawab pertanyaan ini. Lihat Dasar Privasi kami.","あなたの詳細は、このお問い合わせに回答するためにのみ使用されます。当社のプライバシーポリシーをご覧ください。","global.form.privacy_note","Global","Form footer note","","","""Privacy Policy""/""隐私政策"" is a hyperlink to /privacy-policy/ (language-equivalent) — keep as link text"
"Enter a valid WhatsApp number so our consultant can reach you.","请输入有效的WhatsApp号码，以便我们的顾问与您联系。","Masukkan nombor WhatsApp yang sah supaya perunding kami boleh menghubungi anda.","弊社のコンサルタントが連絡できるように、有効な WhatsApp 番号を入力してください。","global.form.validation_phone","Global","JS validation message (js/site.js via data-invalid-phone-text attribute)","","",""
"12 345 6789","12 345 6789","12 345 6789","12 345 6789","global.form.phone_placeholder","Global","Phone input placeholder","Y","","Keep Western digit format unchanged in all languages"
"Lexis Hibiscus 2, Port Dickson | Private-Pool Resort Villas","Lexis Hibiscus 2, Port Dickson｜私人泳池度假别墅","Lexis Hibiscus 2, Port Dickson | Vila Resort Kolam Renang Persendirian","Lexis Hibiscus 2、Port Dickson |プライベートプール付きリゾートヴィラ","home.meta.title","/","<title>","","",""
"Lexis Hibiscus 2 is a 5-star resort development in Port Dickson with private-pool villas, managed by the award-winning Lexis Hotel Group. Ownership from RM774,000.","Lexis Hibiscus 2 是位于 Port Dickson 的五星级度假村项目，配备私人泳池别墅，由屡获殊荣的 Lexis Hotel Group 管理。业权价格由 RM774,000 起。","Lexis Hibiscus 2 ialah pembangunan resort bertaraf 5 bintang di Port Dickson dengan vila kolam renang persendirian, diuruskan oleh Lexis Hotel Group yang memenangi anugerah. Pemilikan daripada RM774,000.","Lexis Hibiscus 2 は、受賞歴のある Lexis Hotel Group が管理する、プライベート プール ヴィラを備えた Port Dickson の 5 つ星リゾート開発です。所有権はRM774,000から。","home.meta.description","/","Meta description","","",""
"Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2, Port Dickson","home.og.title","/","og:title","Y","",""
"A 5-star resort development in Port Dickson with private-pool villas, managed by Lexis Hotel Group.","位于 Port Dickson 的五星级度假村项目，配备私人泳池别墅，由 Lexis Hotel Group 管理。","Pembangunan resort bertaraf 5 bintang di Port Dickson dengan vila kolam renang persendirian, diuruskan oleh Lexis Hotel Group.","Lexis Hotel Group が管理する、プライベート プール ヴィラを備えた Port Dickson の 5 つ星リゾート開発施設。","home.og.description","/","og:description","","",""
"Hi, I'd like to book a private viewing for Lexis Hibiscus 2.","您好，我想预约 Lexis Hibiscus 2 的私人参观。","Hai, saya ingin menempah tontonan peribadi untuk Lexis Hibiscus 2.","こんにちは、Lexis Hibiscus 2 の内覧会を予約したいのですが。","home.wa_text","/","WhatsApp prefill (data-wa-text)","","","Default WA prefill message, also reused verbatim on /contact/, /disclaimer/, /privacy-policy/"
"Port Dickson, Malaysia","Port Dickson，马来西亚","Port Dickson, Malaysia","Port Dickson、マレーシア","home.hero.eyebrow","/","Hero eyebrow label","","",""
"A New Landmark Resort on the Straits of Malacca","马六甲海峡畔的全新地标度假村","Sebuah Tempat Peranginan Mercu Tanda Baharu di Selat Melaka","マラッカ海峡の新たなランドマークリゾート","home.hero.h1","/","H1","","",""
"Lexis Hibiscus 2 brings private-pool villa living to Port Dickson, professionally managed by the award-winning Lexis Hotel Group. Explore the villas, or learn how the rental programme works.","Lexis Hibiscus 2 将私人泳池别墅生活带到 Port Dickson，由屡获殊荣的 Lexis Hotel Group 专业管理。立即探索别墅选择，或了解租赁计划的运作方式。","Lexis Hibiscus 2 membawa vila kolam renang persendirian kediaman ke Port Dickson, diuruskan secara profesional oleh Lexis Hotel Group yang memenangi anugerah. Terokai vila, atau pelajari cara program penyewaan berfungsi.","Lexis Hibiscus 2 は、受賞歴のある Lexis Hotel Group によって専門的に管理されているプライベート プール ヴィラ リビングを Port Dickson にもたらします。ヴィラを探索したり、レンタル プログラムの仕組みを学んだりしてください。","home.hero.subhead","/","Hero subheadline","","",""
"Aerial artist impression of Lexis Hibiscus 2 resort, Port Dickson","Lexis Hibiscus 2 度假村鸟瞰效果图，位于 Port Dickson","Kesan artis dari udara untuk resort Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2 リゾート、Port Dickson の空撮アーティストの印象","home.hero.image_alt","/","Hero image alt text","","","Same image/alt reused on /villas/"
"Artist impression. Final development may vary.","效果图仅供参考，最终发展项目可能有所不同。","Kesan artis. Pembangunan akhir mungkin berbeza-beza.","アーティストの印象。最終的な展開は異なる場合があります。","home.hero.caption","/","Hero image caption","","","This exact caption is reused verbatim on every hero/render image sitewide"
"The Villas","别墅","The Villas","ザ ヴィラズ","home.card1.heading","/","Home card 1 heading","","",""
"Overwater Type A villas, each with its own private pool. See the villa options, resort experience and gallery.","水上 A 型别墅，每户皆配备私人泳池。了解别墅选择、度假村体验与相册。","Vila Jenis A atas air, setiap satu dengan kolam renang peribadinya sendiri. Lihat pilihan vila, pengalaman resort dan galeri.","水上タイプAのヴィラには専用のプライベートプールが付いています。ヴィラのオプション、リゾート体験、ギャラリーをご覧ください。","home.card1.body","/","Home card 1 body","","",""
"Explore the villas →","探索别墅 →","Terokai vila →","ヴィラを探索する →","home.card1.link","/","Home card 1 link text","","",""
"Artist impression of villas at Lexis Hibiscus 2","Lexis Hibiscus 2 别墅效果图","Kesan artis vila di Lexis Hibiscus 2","Lexis Hibiscus 2のヴィラのアーティスト・インプレッション","home.card1.image_alt","/","Home card 1 image alt","","",""
"The Rental Programme","租赁计划","Program Penyewaan","レンタルプログラム","home.card2.heading","/","Home card 2 heading","","",""
"A structured 15-year rental programme managed by Lexis Hotel Group, with a track record of paying owners since 2006.","由 Lexis Hotel Group 管理的15年期结构化租赁计划，自2006年起持续向业主发放租金。","Program penyewaan 15 tahun berstruktur yang diuruskan oleh Lexis Hotel Group, dengan rekod prestasi pemilik yang membayar sejak 2006.","Lexis Hotel Group が管理する体系的な 15 年間のレンタル プログラムで、2006 年以来所有者に支払いを行ってきた実績があります。","home.card2.body","/","Home card 2 body","","Y","Compliance-adjacent rental programme description"
"See how it works →","了解详情 →","Lihat cara ia berfungsi →","仕組みを見る→","home.card2.link","/","Home card 2 link text","","",""
"Artist impression of the resort pool at Lexis Hibiscus 2","Lexis Hibiscus 2 度假村泳池效果图","Tayangan artis kolam peranginan di Lexis Hibiscus 2","Lexis Hibiscus 2のリゾートプールのアーティストインプレッション","home.card2.image_alt","/","Home card 2 image alt","","",""
"Why Lexis Hibiscus 2","为何选择 Lexis Hibiscus 2","Mengapa Lexis Hibiscus 2","なぜLexis Hibiscus 2なのか","home.trust.eyebrow","/","Trust section eyebrow","","",""
"Built on an Award-Winning Hospitality Track Record","屡获殊荣的酒店管理团队实力见证","Dibina di atas Rekod Jejak Perhotelan Pemenang Anugerah","受賞歴のあるホスピタリティの実績に基づいて構築","home.trust.h2","/","Trust section H2","","",""
"2× Guinness World Records","2项健力士世界纪录","2× Rekod Dunia Guinness","2× ギネス世界記録","home.trust1.heading","/","Trust card 1 heading","","","""健力士"" is the standard Malaysian/Singaporean Chinese term for Guinness"
"Held by the existing Lexis Hibiscus resort, verified 2016.","由现有 Lexis Hibiscus 度假村保持，于2016年获认证。","Dipegang oleh resort Lexis Hibiscus sedia ada, disahkan 2016.","既存の Lexis Hibiscus リゾートが所有、2016 年に確認済み。","home.trust1.body","/","Trust card 1 body","","",""
"Developer since 1996","1996年创立的发展商","Pemaju sejak 1996","1996 年以来の開発者","home.trust2.heading","/","Trust card 2 heading","","",""
"Kuala Lumpur Metro Group.","Kuala Lumpur Metro Group。","Kuala Lumpur Metro Group.","Kuala Lumpur Metro Group.","home.trust2.body","/","Trust card 2 body","Y","",""
"Rental paid since 2006","自2006年起发放租金","Sewa dibayar sejak 2006","2006 年以降のレンタル料金の支払い","home.trust3.heading","/","Trust card 3 heading","","Y",""
"Across Lexis properties.","遍及 Lexis 旗下物业。","Merentasi hartanah Lexis.","レクシスの施設全体。","home.trust3.body","/","Trust card 3 body","","",""
"From RM774,000","RM774,000 起","Daripada RM774,000","RM774,000から","home.trust4.heading","/","Trust card 4 heading","Partial","","Keep ""RM774,000"" unchanged in all languages"
"Private-pool villa ownership, subject to availability.","私人泳池别墅业权，视单位供应情况而定。","Pemilikan vila kolam renang peribadi, tertakluk pada ketersediaan.","プライベートプールヴィラの所有権（空室状況によります）。","home.trust4.body","/","Trust card 4 body","","",""
"Speak With Our Consultant","与我们的顾问洽谈","Bercakap Dengan Perunding Kami","コンサルタントにご相談ください","home.consultant.h2","/","Final CTA section H2","","",""
"Villa details, pricing and private consultations at Bukit Bintang Showroom — reach out any time on WhatsApp.","别墅详情、价格与 Bukit Bintang Showroom 私人咨询——欢迎随时透过 WhatsApp 联系我们。","Butiran vila, harga dan perundingan peribadi di Bukit Bintang Showroom — hubungi WhatsApp pada bila-bila masa.","ヴィラの詳細、価格、プライベート相談については Bukit Bintang Showroom で、いつでも WhatsApp でお問い合わせください。","home.consultant.body","/","Final CTA section body","","",""
"About Your Consultant | Lexis Hibiscus 2, Port Dickson","关于顾问｜Lexis Hibiscus 2, Port Dickson","Mengenai Perunding Anda | Lexis Hibiscus 2, Port Dickson","コンサルタントについて | Lexis Hibiscus 2、Port Dickson","about.meta.title","/about/","<title>","","",""
"Meet the authorised real estate negotiator marketing Lexis Hibiscus 2 in Port Dickson — experience, credentials and how to arrange a private consultation.","认识负责 Lexis Hibiscus 2（Port Dickson）市场推广的授权房地产经纪人——经验、资质，以及如何安排私人咨询。","Temui perunding hartanah yang dibenarkan pemasaran Lexis Hibiscus 2 di Port Dickson — pengalaman, kelayakan dan cara mengatur perundingan peribadi.","Port Dickson で Lexis Hibiscus 2 をマーケティングする認定不動産交渉人をご紹介します。経験、資格、プライベート相談の手配方法をご紹介します。","about.meta.description","/about/","Meta description","","",""
"About Your Consultant — Lexis Hibiscus 2","关于顾问 — Lexis Hibiscus 2","Mengenai Perunding Anda — Lexis Hibiscus 2","コンサルタントについて — Lexis Hibiscus 2","about.og.title","/about/","og:title","","",""
"Meet the authorised real estate negotiator marketing Lexis Hibiscus 2, Port Dickson.","认识负责 Lexis Hibiscus 2（Port Dickson）市场推广的授权房地产经纪人。","Temui perunding hartanah yang dibenarkan pemasaran Lexis Hibiscus 2, Port Dickson.","公認不動産交渉人マーケティング Lexis Hibiscus 2、Port Dickson をご紹介します。","about.og.description","/about/","og:description","","",""
"Hi, I'd like to book a viewing with Wong See How for Lexis Hibiscus 2.","您好，我想预约与 Wong See How 洽谈 Lexis Hibiscus 2 的参观。","Hai, saya ingin menempah tontonan dengan Wong See How untuk Lexis Hibiscus 2.","こんにちは、Wong See How で Lexis Hibiscus 2 の視聴を予約したいのですが。","about.wa_text","/about/","WhatsApp prefill (data-wa-text)","Partial","","""Wong See How"" verbatim"
"About","关于","Tentang","について","about.eyebrow","/about/","Eyebrow label","","","Same string as global.nav.about"
"Your Consultant for Lexis Hibiscus 2","Lexis Hibiscus 2 专属顾问","Perunding Anda untuk Lexis Hibiscus 2","Lexis Hibiscus 2 のコンサルタント","about.h1","/about/","H1","","",""
"Joe Wong (Wong See How), REN 51947, founder and director of Summerfield Property (M) Sdn. Bhd.","Joe Wong（Wong See How），REN 51947，Summerfield Property (M) Sdn. Bhd. 创办人兼董事","Joe Wong (Wong See How), REN 51947, pengasas dan pengarah Summerfield Property (M) Sdn. Bhd.","Joe Wong (Wong See How)、REN 51947、Summerfield Property (M) Sdn. の創設者兼ディレクター。 BHD.","about.photo_alt","/about/","Consultant photo alt text","Partial","","Names/REN number/company name verbatim; only the role description translates"
"Wong See How is a Registered Real Estate Negotiator (REN 51947) working with Summerfield Property (M) Sdn. Bhd. (firm registration E (3) 1305), marketing Lexis Hibiscus 2 in Port Dickson.","Wong See How 是注册房地产经纪人（REN 51947），任职于 Summerfield Property (M) Sdn. Bhd.（公司注册 E (3) 1305），负责 Lexis Hibiscus 2（Port Dickson）的市场推广工作。","Wong See How ialah Perunding Hartanah Berdaftar (REN 51947) yang bekerja dengan Summerfield Property (M) Sdn. Bhd. (pendaftaran firma E (3) 1305), pemasaran Lexis Hibiscus 2 dalam Port Dickson.","Wong See How は、Summerfield Property (M) Sdn と連携する登録不動産交渉人 (REN 51947) です。 Bhd. (法人登録 E (3) 1305)、Port Dickson で Lexis Hibiscus 2 を販売。","about.p1","/about/","Body paragraph 1","","",""
"Joe Wong (Joe See How Wong) is the founder and director of Summerfield Property (M) Sdn. Bhd., a real estate firm specialising in new project sales and marketing. The agency operates primarily across the Klang Valley, Negeri Sembilan, Pahang, Penang and Johor, with services ranging from residential sales to Malaysia My Second Home (MM2H) consultation.","Joe Wong（Joe See How Wong）是 Summerfield Property (M) Sdn. Bhd. 的创办人兼董事，该房地产公司专注于新项目销售与市场推广。公司业务主要覆盖巴生谷、森美兰、彭亨、槟城与柔佛，服务范围涵盖住宅销售至马来西亚第二家园计划（MM2H）咨询。","Joe Wong (Joe See How Wong) ialah pengasas dan pengarah Summerfield Property (M) Sdn. Bhd., firma hartanah yang mengkhusus dalam penjualan dan pemasaran projek baharu. Agensi itu beroperasi terutamanya di seluruh Lembah Klang, Negeri Sembilan, Pahang, Pulau Pinang dan Johor, dengan perkhidmatan daripada jualan kediaman hingga perundingan Malaysia My Second Home (MM2H).","Joe Wong (Joe See How Wong) は、Summerfield Property (M) Sdn. の創設者兼ディレクターです。 Bhd. は、新規プロジェクトの販売とマーケティングを専門とする不動産会社です。この代理店は主にクランバレー、ヌグリ・スンビラン、パハン、ペナン、ジョホールで活動しており、住宅販売からマレーシア・マイ・セカンド・ホーム（MM2H）のコンサルティングまでサービスを提供しています。","about.p2","/about/","Body paragraph 2","","","Place names (Klang Valley, Negeri Sembilan, Pahang, Penang, Johor) may be localized to standard MS/JA equivalents; ""MM2H"" acronym stays"
"Enquiries are handled directly on WhatsApp, with private briefings arranged at our Bukit Bintang Showroom (Kuala Lumpur) or Lexis Hibiscus Port Dickson Sales Gallery for buyers who would like to review the full villa and programme documentation in person.","所有咨询皆直接透过 WhatsApp 处理；如买家希望亲自查阅完整的别墅与计划文件，我们也可安排在 Bukit Bintang Showroom（吉隆坡）或 Lexis Hibiscus Port Dickson Sales Gallery 进行私人简报。","Pertanyaan dikendalikan terus di WhatsApp, dengan taklimat peribadi diatur di Bukit Bintang Showroom (Kuala Lumpur) atau Galeri Jualan Lexis Hibiscus Port Dickson kami untuk pembeli yang ingin menyemak vila penuh dan dokumentasi program secara peribadi.","お問い合わせは WhatsApp で直接処理され、完全なヴィラとプログラムのドキュメントを直接確認したい購入者向けに、Bukit Bintang Showroom (クアラルンプール) または Lexis Hibiscus Port Dickson セールス ギャラリーでプライベート ブリーフィングが開催されます。","about.p3","/about/","Body paragraph 3","","",""
"Marketing by an authorised real estate negotiator. This is not the developer's official website.","本网站由授权房地产经纪人营销制作，并非发展商官方网站。","Pemasaran oleh perunding hartanah bertauliah. Ini bukan tapak web rasmi pembangun.","認定不動産交渉士によるマーケティング。これは開発者の公式 Web サイトではありません。","about.disclosure","/about/","Inline disclosure box","","Y","Duplicate of global.footer.legal1"
"Direct WhatsApp Access","WhatsApp 直接联系","Akses Langsung WhatsApp","WhatsApp への直接アクセス","about.card1.heading","/about/","Card 1 heading","","",""
"Questions answered directly — no call centre.","问题即时解答，无需透过客服中心。","Soalan dijawab terus — tiada pusat panggilan.","コールセンターはなく、質問に直接答えられます。","about.card1.body","/about/","Card 1 body","","",""
"Private Briefings","私人简报","Taklimat Persendirian","プライベートブリーフィング","about.card2.heading","/about/","Card 2 heading","","",""
"Full documentation reviewed together at Bukit Bintang Showroom, Kuala Lumpur (open daily, 10am – 4pm) or our Lexis Hibiscus Port Dickson Sales Gallery.","可在吉隆坡 Bukit Bintang Showroom（每日上午10时至下午4时开放）或 Lexis Hibiscus Port Dickson Sales Gallery，一同查阅完整文件。","Dokumentasi penuh disemak bersama di Bukit Bintang Showroom, Kuala Lumpur (dibuka setiap hari, 10 pagi – 4 petang) atau Galeri Jualan Lexis Hibiscus Port Dickson kami.","完全なドキュメントは、クアラルンプールの Bukit Bintang Showroom (毎日午前 10 時から午後 4 時まで営業) または Lexis Hibiscus Port Dickson セールス ギャラリーで一緒に確認できます。","about.card2.body","/about/","Card 2 body","","",""
"No Obligation","无需承诺","Tiada Kewajipan","義務なし","about.card3.heading","/about/","Card 3 heading","","",""
"Enquire, ask questions, decide in your own time.","欢迎咨询、提问，并按自己的步调做决定。","Bertanya, bertanya, membuat keputusan dalam masa anda sendiri.","質問して、自分の時間で決めてください。","about.card3.body","/about/","Card 3 body","","",""
"Contact | Lexis Hibiscus 2, Port Dickson","联系我们｜Lexis Hibiscus 2, Port Dickson","Hubungi | Lexis Hibiscus 2, Port Dickson","お問い合わせ | Lexis Hibiscus 2、Port Dickson","contact.meta.title","/contact/","<title>","","",""
"Contact our consultant about Lexis Hibiscus 2, Port Dickson — WhatsApp, email or book a private briefing at Bukit Bintang Showroom.","透过 WhatsApp、电邮联系我们的顾问，或预约在 Bukit Bintang Showroom 进行的 Lexis Hibiscus 2（Port Dickson）私人简报。","Hubungi perunding kami tentang Lexis Hibiscus 2, Port Dickson — WhatsApp, e-mel atau tempah taklimat peribadi di Bukit Bintang Showroom.","Lexis Hibiscus 2、Port Dickson — WhatsApp についてコンサルタントにお問い合わせいただくか、メールでご連絡いただくか、Bukit Bintang Showroom でプライベート説明会を予約してください。","contact.meta.description","/contact/","Meta description","","",""
"Contact — Lexis Hibiscus 2","联系我们 — Lexis Hibiscus 2","Hubungi — Lexis Hibiscus 2","連絡先 — Lexis Hibiscus 2","contact.og.title","/contact/","og:title","","",""
