"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"Port Dickson, Negeri Sembilan — a 5-star resort development by KL Metro Property Development Sdn. Bhd. (Kuala Lumpur Metro Group), operated by Lexis Hotel Group.","森美兰波德申 — 由 KL Metro Property Development Sdn. Bhd.（Kuala Lumpur Metro Group 成员）打造，Lexis Hotel Group 管理的五星级度假村项目。","","","global.footer.intro","Global","Footer intro paragraph","","","""Port Dickson"" and all company names stay in English per never-translate list; only the descriptive sentence around them translates"
"Explore","快速链接","","","global.footer.explore_heading","Global","Footer column heading","","",""
"Villas","别墅","","","global.footer.link.villas","Global","Footer link","","","Same string as global.nav.villas"
"Rental Programme","租赁计划","","","global.footer.link.rental_programme","Global","Footer link","","","Same string as global.nav.rental_programme"
"About the Consultant","关于顾问","","","global.footer.link.about","Global","Footer link","","","NOTE: differs from nav's plain ""About"" — footer uses the fuller label"
"Contact","联系我们","","","global.footer.link.contact","Global","Footer link","","",""
"Privacy Policy","隐私政策","","","global.footer.link.privacy","Global","Footer link","","",""
"Disclaimer","免责声明","","","global.footer.link.disclaimer","Global","Footer link","","",""
"Marketing Credentials","营销资质","","","global.footer.credentials_heading","Global","Footer column heading","","",""
"REN: Wong See How · REN No. 51947 / Agency: Summerfield Property (M) Sdn. Bhd., reg. 200401009891 (648394-W) / Firm registration (LPPEH E-no.): E (3) 1305 / Developer: KL Metro Property Development Sdn. Bhd., reg. 201901040005 (1349335-X)","REN: Wong See How · REN No. 51947 / 代理公司：Summerfield Property (M) Sdn. Bhd., reg. 200401009891 (648394-W) / 公司注册 (LPPEH E-no.)：E (3) 1305 / 发展商：KL Metro Property Development Sdn. Bhd., reg. 201901040005 (1349335-X)","","","global.footer.ren_block","Global","Footer REN / legal identity block (4 lines)","Partial","Y","REN name, REN number, company names and registration numbers must stay verbatim in every language — only the field labels (""Agency:"", ""Firm registration:"", ""Developer:"") translate. This is the compliance-critical footer block referenced in §5 as ""keep verbatim"""
"Visit Us: Bukit Bintang Showroom, Kuala Lumpur (open daily, 10am – 4pm) · Lexis Hibiscus Port Dickson Sales Gallery — full addresses on our Contact page","咨询地点：Bukit Bintang Showroom, Kuala Lumpur（每日开放，上午10时至下午4时） · Lexis Hibiscus Port Dickson Sales Gallery——完整地址请见联系我们页面","","","global.footer.venue","Global","Footer venue line","","","Two venues as of 2026-07-19. Venue names and addresses stay in English/Romanized form in every language (postal requirement + existing convention). Full addresses live only on /contact/, not repeated in the footer."
"Marketing by an authorised real estate negotiator. This is not the developer's official website.","本网站由授权房地产经纪人营销制作，并非发展商官方网站。","","","global.footer.legal1","Global","Footer legal line 1","","Y","Compliance-adjacent boilerplate, reused verbatim as a disclosure box on /about/, /contact/ and elsewhere"
"Renders shown are artist impressions; final development may vary. This website is marketing material and does not constitute financial or investment advice — buyers should seek independent legal and financial counsel. Information correct at time of publication and subject to change.","网站所示效果图仅供参考，最终发展项目可能有所不同。本网站为营销资料，不构成财务或法律建议——买家应寻求独立的法律与财务咨询。资料内容以发布时为准，如有更改，恕不另行通知。","","","global.footer.legal2","Global","Footer legal line 2","","Y","FLAGGED: ZH drops ""investment"" and substitutes ""legal"" because 投资 is a banned ZH compliance term (see i18n/compliance-audit-zh.md). Apply the equivalent substitution for MS (""pelaburan"" is banned) and JA (投資 is banned) — see TRANSLATION-TASK.md"
"© 2026 Lexis Hibiscus 2. All rights reserved.","© 2026 Lexis Hibiscus 2. All rights reserved.","","","global.footer.copyright","Global","Footer copyright","Partial","","Currently shipped identically untranslated in ZH (not localized) — flagged gap. ""Lexis Hibiscus 2"" and the year stay verbatim; consider translating ""All rights reserved"" for MS/JA and retroactively for ZH"
"Name","姓名","","","global.form.label_name","Global","Form field label","","",""
"WhatsApp Number","WhatsApp 号码","","","global.form.label_whatsapp","Global","Form field label","","",""
"Country code","国家区号","","","global.form.country_code_aria","Global","Form select aria-label","","",""
"Other","其他","","","global.form.country_other","Global","Country-code select option","","",""
"Buyer Type","买家类型","","","global.form.label_buyer_type","Global","Form field label","","",""
"Select one","请选择","","","global.form.buyer_select_placeholder","Global","Form select placeholder option","","",""
"Malaysia Buyer","马来西亚买家","","","global.form.buyer_malaysia","Global","Form select option","","",""
"Singapore Buyer","新加坡买家","","","global.form.buyer_singapore","Global","Form select option","","",""
"Overseas Buyer","海外买家","","","global.form.buyer_overseas","Global","Form select option","","",""
"MM2H Participant","MM2H 参与者","","","global.form.buyer_mm2h","Global","Form select option","Partial","","Keep ""MM2H"" acronym untranslated; translate ""Participant"" only"
"Others","其他","","","global.form.buyer_others","Global","Form select option","","",""
"Send Enquiry","发送咨询","","","global.form.submit_contact","Global","Contact-page form submit button (hardcoded, not via CTA config)","","",""
"Leave empty","请留空","","","global.form.botcheck_label","Global","Honeypot field label (visually hidden)","","",""
"Your details are used only to respond to this enquiry. See our Privacy Policy.","您的资料仅用于回复本咨询，详情请参阅我们的隐私政策。","","","global.form.privacy_note","Global","Form footer note","","","""Privacy Policy""/""隐私政策"" is a hyperlink to /privacy-policy/ (language-equivalent) — keep as link text"
"Enter a valid WhatsApp number so our consultant can reach you.","请输入有效的WhatsApp号码，以便我们的顾问与您联系。","","","global.form.validation_phone","Global","JS validation message (js/site.js via data-invalid-phone-text attribute)","","",""
"12 345 6789","12 345 6789","12 345 6789","12 345 6789","global.form.phone_placeholder","Global","Phone input placeholder","Y","","Keep Western digit format unchanged in all languages"
"Lexis Hibiscus 2, Port Dickson | Private-Pool Resort Villas","Lexis Hibiscus 2, Port Dickson｜私人泳池度假别墅","","","home.meta.title","/","<title>","","",""
"Lexis Hibiscus 2 is a 5-star resort development in Port Dickson with private-pool villas, managed by the award-winning Lexis Hotel Group. Ownership from RM774,000.","Lexis Hibiscus 2 是位于 Port Dickson 的五星级度假村项目，配备私人泳池别墅，由屡获殊荣的 Lexis Hotel Group 管理。业权价格由 RM774,000 起。","","","home.meta.description","/","Meta description","","",""
"Lexis Hibiscus 2, Port Dickson","Lexis Hibiscus 2, Port Dickson","","","home.og.title","/","og:title","Y","",""
"A 5-star resort development in Port Dickson with private-pool villas, managed by Lexis Hotel Group.","位于 Port Dickson 的五星级度假村项目，配备私人泳池别墅，由 Lexis Hotel Group 管理。","","","home.og.description","/","og:description","","",""
"Hi, I'd like to book a private viewing for Lexis Hibiscus 2.","您好，我想预约 Lexis Hibiscus 2 的私人参观。","","","home.wa_text","/","WhatsApp prefill (data-wa-text)","","","Default WA prefill message, also reused verbatim on /contact/, /disclaimer/, /privacy-policy/"
"Port Dickson, Malaysia","Port Dickson，马来西亚","","","home.hero.eyebrow","/","Hero eyebrow label","","",""
"A New Landmark Resort on the Straits of Malacca","马六甲海峡畔的全新地标度假村","","","home.hero.h1","/","H1","","",""
"Lexis Hibiscus 2 brings private-pool villa living to Port Dickson, professionally managed by the award-winning Lexis Hotel Group. Explore the villas, or learn how the rental programme works.","Lexis Hibiscus 2 将私人泳池别墅生活带到 Port Dickson，由屡获殊荣的 Lexis Hotel Group 专业管理。立即探索别墅选择，或了解租赁计划的运作方式。","","","home.hero.subhead","/","Hero subheadline","","",""
"Aerial artist impression of Lexis Hibiscus 2 resort, Port Dickson","Lexis Hibiscus 2 度假村鸟瞰效果图，位于 Port Dickson","","","home.hero.image_alt","/","Hero image alt text","","","Same image/alt reused on /villas/"
"Artist impression. Final development may vary.","效果图仅供参考，最终发展项目可能有所不同。","","","home.hero.caption","/","Hero image caption","","","This exact caption is reused verbatim on every hero/render image sitewide"
"The Villas","别墅","","","home.card1.heading","/","Home card 1 heading","","",""
"Overwater Type A villas, each with its own private pool. See the villa options, resort experience and gallery.","水上 A 型别墅，每户皆配备私人泳池。了解别墅选择、度假村体验与相册。","","","home.card1.body","/","Home card 1 body","","",""
"Explore the villas →","探索别墅 →","","","home.card1.link","/","Home card 1 link text","","",""
"Artist impression of villas at Lexis Hibiscus 2","Lexis Hibiscus 2 别墅效果图","","","home.card1.image_alt","/","Home card 1 image alt","","",""
"The Rental Programme","租赁计划","","","home.card2.heading","/","Home card 2 heading","","",""
"A structured 15-year rental programme managed by Lexis Hotel Group, with a track record of paying owners since 2006.","由 Lexis Hotel Group 管理的15年期结构化租赁计划，自2006年起持续向业主发放租金。","","","home.card2.body","/","Home card 2 body","","Y","Compliance-adjacent rental programme description"
"See how it works →","了解详情 →","","","home.card2.link","/","Home card 2 link text","","",""
"Artist impression of the resort pool at Lexis Hibiscus 2","Lexis Hibiscus 2 度假村泳池效果图","","","home.card2.image_alt","/","Home card 2 image alt","","",""
"Why Lexis Hibiscus 2","为何选择 Lexis Hibiscus 2","","","home.trust.eyebrow","/","Trust section eyebrow","","",""
"Built on an Award-Winning Hospitality Track Record","屡获殊荣的酒店管理团队实力见证","","","home.trust.h2","/","Trust section H2","","",""
"2× Guinness World Records","2项健力士世界纪录","","","home.trust1.heading","/","Trust card 1 heading","","","""健力士"" is the standard Malaysian/Singaporean Chinese term for Guinness"
"Held by the existing Lexis Hibiscus resort, verified 2016.","由现有 Lexis Hibiscus 度假村保持，于2016年获认证。","","","home.trust1.body","/","Trust card 1 body","","",""
"Developer since 1996","1996年创立的发展商","","","home.trust2.heading","/","Trust card 2 heading","","",""
"Kuala Lumpur Metro Group.","Kuala Lumpur Metro Group。","","","home.trust2.body","/","Trust card 2 body","Y","",""
"Rental paid since 2006","自2006年起发放租金","","","home.trust3.heading","/","Trust card 3 heading","","Y",""
"Across Lexis properties.","遍及 Lexis 旗下物业。","","","home.trust3.body","/","Trust card 3 body","","",""
"From RM774,000","RM774,000 起","","","home.trust4.heading","/","Trust card 4 heading","Partial","","Keep ""RM774,000"" unchanged in all languages"
"Private-pool villa ownership, subject to availability.","私人泳池别墅业权，视单位供应情况而定。","","","home.trust4.body","/","Trust card 4 body","","",""
"Speak With Our Consultant","与我们的顾问洽谈","","","home.consultant.h2","/","Final CTA section H2","","",""
"Villa details, pricing and private consultations at Bukit Bintang Showroom — reach out any time on WhatsApp.","别墅详情、价格与 Bukit Bintang Showroom 私人咨询——欢迎随时透过 WhatsApp 联系我们。","","","home.consultant.body","/","Final CTA section body","","",""
"About Your Consultant | Lexis Hibiscus 2, Port Dickson","关于顾问｜Lexis Hibiscus 2, Port Dickson","","","about.meta.title","/about/","<title>","","",""
"Meet the authorised real estate negotiator marketing Lexis Hibiscus 2 in Port Dickson — experience, credentials and how to arrange a private consultation.","认识负责 Lexis Hibiscus 2（Port Dickson）市场推广的授权房地产经纪人——经验、资质，以及如何安排私人咨询。","","","about.meta.description","/about/","Meta description","","",""
"About Your Consultant — Lexis Hibiscus 2","关于顾问 — Lexis Hibiscus 2","","","about.og.title","/about/","og:title","","",""
"Meet the authorised real estate negotiator marketing Lexis Hibiscus 2, Port Dickson.","认识负责 Lexis Hibiscus 2（Port Dickson）市场推广的授权房地产经纪人。","","","about.og.description","/about/","og:description","","",""
"Hi, I'd like to book a viewing with Wong See How for Lexis Hibiscus 2.","您好，我想预约与 Wong See How 洽谈 Lexis Hibiscus 2 的参观。","","","about.wa_text","/about/","WhatsApp prefill (data-wa-text)","Partial","","""Wong See How"" verbatim"
"About","关于","","","about.eyebrow","/about/","Eyebrow label","","","Same string as global.nav.about"
"Your Consultant for Lexis Hibiscus 2","Lexis Hibiscus 2 专属顾问","","","about.h1","/about/","H1","","",""
"Joe Wong (Wong See How), REN 51947, founder and director of Summerfield Property (M) Sdn. Bhd.","Joe Wong（Wong See How），REN 51947，Summerfield Property (M) Sdn. Bhd. 创办人兼董事","","","about.photo_alt","/about/","Consultant photo alt text","Partial","","Names/REN number/company name verbatim; only the role description translates"
"Wong See How is a Registered Real Estate Negotiator (REN 51947) working with Summerfield Property (M) Sdn. Bhd. (firm registration E (3) 1305), marketing Lexis Hibiscus 2 in Port Dickson.","Wong See How 是注册房地产经纪人（REN 51947），任职于 Summerfield Property (M) Sdn. Bhd.（公司注册 E (3) 1305），负责 Lexis Hibiscus 2（Port Dickson）的市场推广工作。","","","about.p1","/about/","Body paragraph 1","","",""
"Joe Wong (Joe See How Wong) is the founder and director of Summerfield Property (M) Sdn. Bhd., a real estate firm specialising in new project sales and marketing. The agency operates primarily across the Klang Valley, Negeri Sembilan, Pahang, Penang and Johor, with services ranging from residential sales to Malaysia My Second Home (MM2H) consultation.","Joe Wong（Joe See How Wong）是 Summerfield Property (M) Sdn. Bhd. 的创办人兼董事，该房地产公司专注于新项目销售与市场推广。公司业务主要覆盖巴生谷、森美兰、彭亨、槟城与柔佛，服务范围涵盖住宅销售至马来西亚第二家园计划（MM2H）咨询。","","","about.p2","/about/","Body paragraph 2","","","Place names (Klang Valley, Negeri Sembilan, Pahang, Penang, Johor) may be localized to standard MS/JA equivalents; ""MM2H"" acronym stays"
"Enquiries are handled directly on WhatsApp, with private briefings arranged at our Bukit Bintang Showroom (Kuala Lumpur) or Lexis Hibiscus Port Dickson Sales Gallery for buyers who would like to review the full villa and programme documentation in person.","所有咨询皆直接透过 WhatsApp 处理；如买家希望亲自查阅完整的别墅与计划文件，我们也可安排在 Bukit Bintang Showroom（吉隆坡）或 Lexis Hibiscus Port Dickson Sales Gallery 进行私人简报。","","","about.p3","/about/","Body paragraph 3","","",""
"Marketing by an authorised real estate negotiator. This is not the developer's official website.","本网站由授权房地产经纪人营销制作，并非发展商官方网站。","","","about.disclosure","/about/","Inline disclosure box","","Y","Duplicate of global.footer.legal1"
"Direct WhatsApp Access","WhatsApp 直接联系","","","about.card1.heading","/about/","Card 1 heading","","",""
"Questions answered directly — no call centre.","问题即时解答，无需透过客服中心。","","","about.card1.body","/about/","Card 1 body","","",""
"Private Briefings","私人简报","","","about.card2.heading","/about/","Card 2 heading","","",""
"Full documentation reviewed together at Bukit Bintang Showroom, Kuala Lumpur (open daily, 10am – 4pm) or our Lexis Hibiscus Port Dickson Sales Gallery.","可在吉隆坡 Bukit Bintang Showroom（每日上午10时至下午4时开放）或 Lexis Hibiscus Port Dickson Sales Gallery，一同查阅完整文件。","","","about.card2.body","/about/","Card 2 body","","",""
"No Obligation","无需承诺","","","about.card3.heading","/about/","Card 3 heading","","",""
"Enquire, ask questions, decide in your own time.","欢迎咨询、提问，并按自己的步调做决定。","","","about.card3.body","/about/","Card 3 body","","",""
"Contact | Lexis Hibiscus 2, Port Dickson","联系我们｜Lexis Hibiscus 2, Port Dickson","","","contact.meta.title","/contact/","<title>","","",""
"Contact our consultant about Lexis Hibiscus 2, Port Dickson — WhatsApp, email or book a private briefing at Bukit Bintang Showroom.","透过 WhatsApp、电邮联系我们的顾问，或预约在 Bukit Bintang Showroom 进行的 Lexis Hibiscus 2（Port Dickson）私人简报。","","","contact.meta.description","/contact/","Meta description","","",""
"Contact — Lexis Hibiscus 2","联系我们 — Lexis Hibiscus 2","","","contact.og.title","/contact/","og:title","","",""
"WhatsApp, email or book a private briefing at Bukit Bintang Showroom about Lexis Hibiscus 2, Port Dickson.","透过 WhatsApp、电邮联系，或预约在 Bukit Bintang Showroom 进行的 Lexis Hibiscus 2（Port Dickson）私人简报。","","","contact.og.description","/contact/","og:description","","",""
"Talk to Our Consultant","与我们的顾问联系","","","contact.h1","/contact/","H1","","",""
"WhatsApp","WhatsApp","","","contact.card1.heading","/contact/","Card 1 heading","Y","",""
"The fastest way to reach us — villa details, pricing and viewing times.","联系我们最快的方式——别墅详情、价格与参观时间。","","","contact.card1.body","/contact/","Card 1 body","","",""
"Private Briefing Venues","私人简报地点","","","contact.card2.heading","/contact/","Card 2 heading","","","Plural as of 2026-07-19 (two venues now listed)"
"Bukit Bintang Showroom, Kuala Lumpur","Bukit Bintang Showroom, Kuala Lumpur","","","contact.card2.venue_name","/contact/","Venue name","Y","","Venue 1 of 2. Kept in English/Romanized form in every language."
"L12, Pavilion Tower, 75 Jalan Raja Chulan, 50200 Kuala Lumpur","L12, Pavilion Tower, 75 Jalan Raja Chulan, 50200 Kuala Lumpur","","","contact.card2.venue1_address","/contact/","Venue 1 address","Y","","Row repurposed 2026-07-19 (was a placeholder 'Venue details to be confirmed' — now the confirmed address). Addresses stay in Romanized form, unchanged, in every language."
"Open daily, 10am – 4pm","每日开放，上午10时至下午4时","","","contact.card2.venue1_hours","/contact/","Venue 1 hours","","","Venue 2 (Port Dickson) hours not yet confirmed — omitted from the site rather than shown as a placeholder, per project convention (see PENDING-ITEMS.md)"
"Lexis Hibiscus Port Dickson Sales Gallery","Lexis Hibiscus Port Dickson Sales Gallery","","","contact.card2.venue2_name","/contact/","Venue 2 name","Y","","Venue 2 of 2, added 2026-07-19. ""Sales Gallery"" is a descriptive label pending confirmation of an official name (see approved-facts.md §8) — kept in English/Romanized form in every language."
"Ground Floor, Lexis Hibiscus Port Dickson, Batu 12, Jalan Pantai, Pasir Panjang, 71250 Port Dickson","Ground Floor, Lexis Hibiscus Port Dickson, Batu 12, Jalan Pantai, Pasir Panjang, 71250 Port Dickson","","","contact.card2.venue2_address","/contact/","Venue 2 address","Y","","Addresses stay in Romanized form, unchanged, in every language. No hours shown for this venue — not yet confirmed."
"Call or WhatsApp: +60 12-297 0362","致电或 WhatsApp：+60 12-297 0362","","","contact.card2.phone","/contact/","Shared phone line (both venues)","Partial","","Row repurposed 2026-07-19 (was a placeholder — now the confirmed number, same as the WhatsApp CTA number). Keep the digits/format unchanged; only 'Call or WhatsApp:' / label text translates."
"Marketing by an authorised real estate negotiator. This is not the developer's official website.","本网站由授权房地产经纪人营销制作，并非发展商官方网站。","","","contact.disclosure","/contact/","Inline disclosure box","","Y","Duplicate of global.footer.legal1"
"Own a Villa at Lexis Hibiscus 2, Port Dickson | Private-Pool Living","在 Lexis Hibiscus 2（Port Dickson）拥有别墅｜私人泳池生活","","","villas.meta.title","/villas/","<title>","","",""
"Overwater villas with private pools at Lexis Hibiscus 2, Port Dickson — managed by the award-winning Lexis Hotel Group. From RM774,000.","Lexis Hibiscus 2（Port Dickson）的水上私人泳池别墅——由屡获殊荣的 Lexis Hotel Group 管理。价格由 RM774,000 起。","","","villas.meta.description","/villas/","Meta description","","",""
"Own a Villa at Lexis Hibiscus 2, Port Dickson","在 Lexis Hibiscus 2（Port Dickson）拥有别墅","","","villas.og.title","/villas/","og:title","","",""
"Overwater villas with private pools at Malaysia's next landmark resort. Managed by Lexis Hotel Group. From RM774,000.","马来西亚下一个地标度假村的水上私人泳池别墅。由 Lexis Hotel Group 管理。价格由 RM774,000 起。","","","villas.og.description","/villas/","og:description","","",""
"Hi, I'd like to book a viewing and get villa pricing for Lexis Hibiscus 2.","您好，我想预约参观 Lexis Hibiscus 2 并了解别墅价格。","","","villas.wa_text","/villas/","WhatsApp prefill (data-wa-text)","","",""
"Lexis Hibiscus 2 · Port Dickson, Malaysia","Lexis Hibiscus 2 · Port Dickson，马来西亚","","","villas.hero.eyebrow","/villas/","Hero eyebrow","Partial","","Same string reused on /rental-programme/"
"Own an Overwater Villa at Lexis Hibiscus 2, Every One With Its Own Private Pool","拥有 Lexis Hibiscus 2 水上别墅，每户皆配备私人泳池","","","villas.hero.h1","/villas/","H1","","",""
"Private-pool villas at Malaysia's next landmark resort in Port Dickson, professionally managed by the award-winning Lexis Hotel Group. Ownership from RM774,000.","马来西亚下一个地标度假村坐落于 Port Dickson，配备私人泳池别墅，由屡获殊荣的 Lexis Hotel Group 专业管理。业权价格由 RM774,000 起。","","","villas.hero.subhead","/villas/","Hero subheadline","","",""
"2× Guinness World Records","2项健力士世界纪录","","","villas.hero.bullet1","/villas/","Hero bullet list item 1","","",""
"Award-winning Lexis hospitality brand","屡获殊荣的 Lexis 酒店品牌","","","villas.hero.bullet2","/villas/","Hero bullet list item 2","","",""
"Developer since 1996","1996年创立的发展商","","","villas.hero.bullet3","/villas/","Hero bullet list item 3","","",""
"From RM774,000","RM774,000 起","","","villas.hero.bullet4","/villas/","Hero bullet list item 4","Partial","","Keep RM774,000 unchanged"
"Aerial artist impression of Lexis Hibiscus 2 resort, Port Dickson","Lexis Hibiscus 2 度假村鸟瞰效果图，位于 Port Dickson","","","villas.hero.image_alt","/villas/","Hero image alt","","","Same as home.hero.image_alt"
"The Villas","别墅","","","villas.options.eyebrow","/villas/","Villa options section eyebrow","","",""
"A Villa Built Around Your Own Pool","专属私人泳池的别墅设计","","","villas.options.h2","/villas/","Villa options H2","","",""
"Two floor layouts, both designed for space and privacy — every home comes with its own private swimming pool, ideal for families who want a resort lifestyle they can call their own.","两种楼层布局，皆着重空间感与私密性——每户皆配备私人泳池，是渴望拥有专属度假生活的家庭理想之选。","","","villas.options.body","/villas/","Villa options section body","","",""
"Type A Upper floor plan — 872 sq ft overwater villa with private pool, 2 bedrooms and 2 bathrooms","A 型上层户型平面图——872平方尺水上别墅，配备私人泳池，2房2卫","","","villas.upper.image_alt","/villas/","Villa card image alt","","",""
"Type A — Upper","A 型 — 上层","","","villas.upper.heading","/villas/","Villa card heading","","",""
"872 sq ft · 81.14 m² · private pool","872平方尺 · 81.14平方米 · 私人泳池","","","villas.upper.feature1","/villas/","Villa card feature line","Partial","","Keep sq ft / m² figures unchanged"
"2 bedrooms · 2 bathrooms · balcony","2房2卫 · 阳台","","","villas.upper.feature2","/villas/","Villa card feature line","","",""
"Elevated water outlook","高台水景视野","","","villas.upper.feature3","/villas/","Villa card feature line","","",""
"From RM774,000*","RM774,000* 起","","","villas.upper.price","/villas/","Villa card price","Partial","","Keep RM774,000 and * unchanged"
"Type A Lower floor plan — 858 sq ft overwater villa with private pool, 2 bedrooms and 2 bathrooms","A 型下层户型平面图——858平方尺水上别墅，配备私人泳池，2房2卫","","","villas.lower.image_alt","/villas/","Villa card image alt","","",""
"Type A — Lower","A 型 — 下层","","","villas.lower.heading","/villas/","Villa card heading","","",""
"858 sq ft · 79.75 m² · private pool","858平方尺 · 79.75平方米 · 私人泳池","","","villas.lower.feature1","/villas/","Villa card feature line","Partial","","Keep sq ft / m² figures unchanged"
"2 bedrooms · 2 bathrooms · balcony","2房2卫 · 阳台","","","villas.lower.feature2","/villas/","Villa card feature line","","",""
"Direct water access level","水平面直达楼层","","","villas.lower.feature3","/villas/","Villa card feature line","","",""
"From RM774,000*","RM774,000* 起","","","villas.lower.price","/villas/","Villa card price","Partial","","Keep RM774,000 and * unchanged"
"The resort will comprise 1,734 rooms in total — 910 overwater villas offered for ownership, plus 800 tower rooms and 24 aquarium rooms, with a sunken aquarium restaurant and the largest ballroom in Negeri Sembilan. Completion targeted 2029. *Pricing subject to availability and official price list.","度假村总共规划1,734间房——910间供业权拥有的水上别墅，另设800间塔楼客房及24间水族客房，并设有沉降式水族餐厅及森美兰州最大宴会厅。竣工目标为2029年。*价格视单位供应情况及官方价目表而定。","","","villas.options.footnote","/villas/","Villa options section footnote","","",""
"Step Inside","走进样板房","","","villas.gallery.eyebrow","/villas/","Gallery section eyebrow","","",""
"Walk Through the Show Unit","样板房实景导览","","","villas.gallery.h2","/villas/","Gallery section H2","","",""
"Actual photography of the Type A show unit, alongside renders of the wider resort.","A 型样板房实景照片，以及度假村整体效果图。","","","villas.gallery.body","/villas/","Gallery section body","","",""
"Type A show unit exterior at dusk","A 型样板房黄昏外观","","","villas.gallery.image1_alt","/villas/","Gallery image alt","","",""
"Private pool and deck of the Type A show unit","A 型样板房的私人泳池与露台","","","villas.gallery.image2_alt","/villas/","Gallery image alt","","",""
"Bedroom of the Type A show unit","A 型样板房卧室","","","villas.gallery.image3_alt","/villas/","Gallery image alt","","",""
"Second bedroom of the Type A show unit","A 型样板房第二间卧室","","","villas.gallery.image4_alt","/villas/","Gallery image alt","","",""
"Bathroom of the Type A show unit","A 型样板房浴室","","","villas.gallery.image5_alt","/villas/","Gallery image alt","","",""
"Artist impression of the villas at Lexis Hibiscus 2","Lexis Hibiscus 2 别墅效果图","","","villas.gallery.image6_alt","/villas/","Gallery image alt","","",""
"Artist impression","效果图","","","villas.gallery.image6_caption","/villas/","Gallery image figcaption","","","Short-form of home.hero.caption, reused across many render images sitewide"
"The Destination","度假胜地","","","villas.location.eyebrow","/villas/","Location section eyebrow","","",""
"An 80-Acre Resort Made for Family Retreats","80英亩打造的家庭度假胜地","","","villas.location.h2","/villas/","Location section H2","","",""
"An 80-acre 5-star resort development adjacent to the existing Lexis Hibiscus","80英亩五星级度假村项目，毗邻现有的 Lexis Hibiscus","","","villas.location.bullet1","/villas/","Location bullet","","",""
"Every villa comes with its own private swimming pool","每户别墅皆配备私人泳池","","","villas.location.bullet2","/villas/","Location bullet","","",""
"Easy to reach — KLIA 55 km · Kuala Lumpur 100 km · Malacca 80 km","交通便利——距吉隆坡国际机场（KLIA）55公里 · 吉隆坡100公里 · 马六甲80公里","","","villas.location.bullet3","/villas/","Location bullet","Partial","","Distances stay unchanged; ""KLIA"", ""Kuala Lumpur"", ""Malacca"" may localize to standard MS/JA place names"
"10 complimentary owner nights every year — your family's annual retreat, built in","每年10晚免费入住——专属您家庭的年度度假时光","","","villas.location.bullet4","/villas/","Location bullet","","",""
"Resort dining, water park, water sports, spa, sky bar, kids' club and gym planned across the grounds","度假村内规划餐饮、水上乐园、水上活动、水疗中心、空中酒吧、儿童俱乐部及健身房等设施","","","villas.location.bullet5","/villas/","Location bullet","","",""
"Artist impression of the infinity pool and feature pavilion at Lexis Hibiscus 2","Lexis Hibiscus 2 无边泳池与特色凉亭效果图","","","villas.location.image1_alt","/villas/","Location image alt","","",""
"Artist impression of the floating pool bar at night, Lexis Hibiscus 2","Lexis Hibiscus 2 夜间浮动泳池吧效果图","","","villas.location.image2_alt","/villas/","Location image alt","","",""
